Country,Number_of_stores,First_store_opening_date,Number_of_stores_per_million_pop,col,scaled_col,animal
Andorra,5,29/06/1984,63.886,64,5,person
Andorra,5,30/06/1984,63.886,64,4,person
Andorra,5,1/07/1984,63.886,64,3,person
Andorra,5,2/07/1984,63.886,64,2,person
Andorra,5,3/07/1984,63.886,64,1,person
Monaco,2,20/11/1992,52.219,52,4,person
Monaco,2,21/11/1992,52.219,52,3,person
Monaco,2,22/11/1992,52.219,52,2,person
Monaco,2,23/11/1992,52.219,52,1,person
United States of America,13375,15/05/1940,40.807,41,3,person
United States of America,13375,16/05/1940,40.807,41,2,person
United States of America,13375,17/05/1940,40.807,41,1,person
Canada,1458,3/06/1967,39.179,39,3,person
Canada,1458,4/06/1967,39.179,39,2,person
Canada,1458,5/06/1967,39.179,39,1,person
Australia,981,30/05/1971,39.163,39,3,person
Australia,981,31/05/1971,39.163,39,2,person
Australia,981,1/06/1971,39.163,39,1,person
New Zealand,166,7/06/1976,33.87,34,3,person
New Zealand,166,7/06/1976,33.87,34,2,person
New Zealand,166,7/06/1976,33.87,34,1,person
Qatar,63,13/12/1995,25.711,26,2,person
Qatar,63,13/12/1995,25.711,26,1,person
Liechtenstein,1,3/05/1996,26.239,26,2,person
Liechtenstein,1,3/05/1996,26.239,26,1,person
Singapore,136,20/10/1979,24.233,24,2,person
Singapore,136,20/10/1979,24.233,24,1,person
