Country,Number_of_stores,First_store_opening_date,Number_of_stores_per_million_pop,col,scaled_col,animal
 Andorra,5,29/06/1984,63.886,64,6,person
Andorra,5,29/06/1984,63.886,64,5,person
Andorra,5,30/06/1984,63.886,64,4,person
Andorra,5,1/07/1984,63.886,64,3,person
Andorra,5,2/07/1984,63.886,64,2,person
Andorra,5,3/07/1984,63.886,64,1,person
America,13375,20/11/1992,67.241,67,7,person
America,13375,20/11/1992,67.241,67,6,person
America,13375,20/11/1992,67.241,67,5,person
America,13375,20/11/1992,67.241,67,4,person
America,13375,21/11/1992,67.241,67,3,person
America,13375,22/11/1992,67.241,67,2,person
America,13375,23/11/1992,67.241,67,1,person
Canada,1458,3/06/1967,39.179,39,4,person
Canada,1458,3/06/1967,39.179,39,3,person
Canada,1458,4/06/1967,39.179,39,2,person
Canada,1458,5/06/1967,39.179,39,1,person
Australia,981,30/05/1971,39.163,39,4,person
Australia,981,30/05/1971,39.163,39,3,person
Australia,981,31/05/1971,39.163,39,2,person
Australia,981,1/06/1971,39.163,39,1,person
Liechtenstein,1,3/05/1996,26.239,26,3,person
Liechtenstein,1,3/05/1996,26.239,26,2,person
Liechtenstein,1,3/05/1996,26.239,26,1,person
